;
; 286DOSX.DAT -- Phar Lap DOS Extender
; for use with Windows Source
; Copyright (c) 1992-1996 V Communications Inc.  All rights reserved.
;
; PHAPI . DOSGETREALPROTVEC
; PHAPI . DOSGETREALVEC
; PHAPI . DOSGETSEGDESC
; PHAPI . DOSISPHARLAP
; PHAPI . DOSISPROTINTR
; PHAPI . DOSISREALINTR
; PHAPI . DOSLOCKSEGPAGES
; PHAPI . DOSMAPLINSEG
; PHAPI . DOSMAPPHYSSEG
; PHAPI . DOSMAPREALSEG
; PHAPI . _DosProtFarCall
; PHAPI . _DosProtFarJump
; PHAPI . _DosProtIntr
; PHAPI . DOSPROTTOREAL
; PHAPI . DOSREALAVAIL
; PHAPI . _DosRealFarCall
; PHAPI . _DosRealFarJump
; PHAPI . _DosRealIntr
; PHAPI . DOSREALTOPROT
; PHAPI . DOSSETEXCEPTIONHANDLER
; PHAPI . DOSSETPASSTOPROTVEC
; PHAPI . DOSSETPASSTOREALVEC
; PHAPI . DOSSETPROCADDR
; PHAPI . DOSSETPROTVEC
; PHAPI . DOSSETREALPROTVEC
; PHAPI . DOSSETREALVEC
; PHAPI . DOSSETSEGATTRIB
; PHAPI . DOSSETVEC2
; PHAPI . DOSUNLOCKSEGPAGES
; PHAPI . DOSVERIFYACCESS
; PHAPI . DOSVPROTFARCALL
; PHAPI . DOSVPROTFARJUMP
; PHAPI . DOSVPROTINTR
; PHAPI . DOSVREALFARCALL
; PHAPI . DOSVREALFARJUMP
; PHAPI . DOSVREALINTR
; PHAPI . BORCHAINTOPROTINTR
; PHAPI . BORCHAINTOREALINTR
; PHAPI . BORISPROTINTR
; PHAPI . BORISREALINTR

; SESMGR . DOSSMSETTITLE
; SESMGR . DOSSMPMPRESENT
SESMGR . 17	DOSSTARTSESSION
SESMGR . 9	DOSSELECTSESSION
SESMGR . 8	DOSSTOPSESSION

VIOCALLS . 2	VIOGETPHYSBUF
VIOCALLS . 7	VIOSCROLLUP
VIOCALLS . 9	VIOGETCURPOS
VIOCALLS . 10	VIOWRTCELLSTR
VIOCALLS . 13	VIOWRTCHARSTR
VIOCALLS . 15	VIOSETCURPOS
VIOCALLS . 18	VIOSCRUNLOCK
VIOCALLS . 19	VIOWRTTTY
VIOCALLS . 21	VIOGETMODE
VIOCALLS . 22	VIOSETMODE
VIOCALLS . 23	VIOSCRLOCK
VIOCALLS . 24	VIOREADCELLSTR
VIOCALLS . 26	VIOWRTNATTR
VIOCALLS . 27	VIOGETCURTYPE
VIOCALLS . 30	VIOREADCHARSTR
VIOCALLS . 31	VIOGETBUF
VIOCALLS . 32	VIOSETCURTYPE
VIOCALLS . 43	VIOSHOWBUF
VIOCALLS . 46	VIOGETCONFIG
VIOCALLS . 47	VIOSCROLLDN
VIOCALLS . 48	VIOWRTCHARSTRATT
VIOCALLS . 49	VIOGETSTATE
VIOCALLS . 51	VIOSETSTATE
VIOCALLS . 52	VIOWRTNCELL
VIOCALLS . 53	VIOWRTNCHAR
