;
; WIN32 -- Windows 32 bit API functions (those obfuscated by ordinal)
; for use with Windows Source
; Copyright (c) 1997,2000 V Communications Inc.  All rights reserved.
;
; These exports are VERY OS specific, they will not work for Win NT/2000.
; Win 9x has a host of such obfuscated functions.
;
; KERNEL32.DLL, Windows 95 Kernel 32 Undocumented exports by ordinal
;               from Matt Pietrek's Win95 Secrets

MPR . 3		NPSHookMPRA@4
MPR . 4		NPSUnHookMPRA@12
MPR . 5		NPSUnHookMeA@8
MPR . 6		WNetInitialize@0
MPR . 7		MprSetMasterQueue@4
MPR . 8		MprInitDirectInterface@0
MPR . 9		UsrMpr_ThunkData32
MPR . 12	strncpyf@12
MPR . 13	strncmpf@12
MPR . 14	strnicmpf@12
MPR . 15	strchrf@8
MPR . 16	strrchrf@8
MPR . 17	strspnf@8
MPR . 18	strcspnf@8
MPR . 19	strncatf@12
MPR . 20	strstrf@8
MPR . 21	stristrf@8
MPR . 22	MemAlloc@4
MPR . 23	MemReAlloc@8
MPR . 24	MemFree@4
MPR . 25	I_IsBadStringPtrA@8

